ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016061720,4044,29.85183177,8.347358845,-2.826178813,-3.316201798,479.1920532,97864.99313,-2.81E-05,-1.73E-18,0.162877993,127.0420908,4.357118434,676
2016061721,4045,29.31654587,9.202942789,-1.743544381,-3.104367132,345.6671292,97950.2113,-1.92E-05,3.67E-06,0.162877993,92.11280286,3.560483436,759
2016061722,4046,27.88383305,10.92933072,-0.827537271,-3.66721514,308.6412972,98049.32771,-2.17E-05,7.35E-05,0.162877993,39.9493557,3.759426129,552
2016061723,4047,24.4136197,13.21559887,-0.774358338,-3.207689608,271.3669698,98057.37406,-1.98E-05,6.53E-06,0.162877993,42.63746616,3.299833853,1082
2016061800,4048,24.04416269,13.50260543,-0.717190986,-1.514427663,156.6448732,98076.02696,-1.13E-05,-1.73E-18,0.162877993,79.61090654,1.675665258,568
2016061801,4049,23.26501078,13.72112178,-0.590891022,-2.286751375,164.6795615,98082.97608,-9.48E-06,-1.73E-18,0.162877993,45.51597331,2.361860295,837
2016061802,4050,23.02968008,14.28752488,-0.331643726,-2.781661317,158.9641647,98112.23554,-8.06E-06,-1.73E-18,0.162877993,21.35968433,2.801361677,858
2016061803,4051,22.57365064,14.88654235,-0.680852049,-2.666072246,181.3287611,98122.47635,-1.71E-05,-1.73E-18,0.162877993,45.00583366,2.75163601,677
2016061804,4052,20.91536176,15.28008922,-0.717190986,-2.443386362,178.843806,98169.29148,-1.30E-05,-1.73E-18,0.162877993,51.39078964,2.546468108,126
2016061805,4053,21.12142854,15.46490405,-1.038037211,-2.392904604,186.4643351,98194.8935,-1.16E-05,-1.73E-18,0.162877993,73.67381322,2.608354596,585
2016061806,4054,25.64148507,13.72547037,-2.319649482,-1.691821503,251.4044967,98297.3016,-1.65E-05,-1.73E-18,0.162583382,169.3164441,2.871068393,256
2016061807,4055,25.18057831,14.75825912,-2.716275686,-1.569627342,303.4228914,98355.45478,-3.58E-05,-1.73E-18,0.162583382,188.4267471,3.137177648,900
2016061808,4056,24.72089087,15.53882998,-2.367510521,-1.517258415,436.3679926,98386.54295,-6.47E-05,-1.73E-18,0.162583382,180.1563469,2.811970691,0
2016061809,4057,24.63553777,16.11393024,-2.201326357,-1.311557048,577.5134458,98415.80241,-9.93E-05,8.16E-07,0.162583382,186.0243307,2.562424559,523
2016061810,4058,29.21534147,15.61601735,-2.387895778,-1.244090774,768.3580022,98430.43213,-0.000145327,-1.73E-18,0.162583382,196.2884101,2.692546769,1789
2016061811,4059,29.04341594,15.81605223,-2.510650481,-1.075660984,963.4269824,98413.60795,-0.000163796,-1.73E-18,0.162583382,209.8829321,2.731375549,1621
2016061812,4060,29.68600288,15.77691497,-2.813327237,-0.620853373,1224.761434,98408.1218,-0.000196165,-1.73E-18,0.162583382,243.6470438,2.881018753,2159
2016061813,4061,32.35633571,14.72347044,-2.948047199,-0.103769202,1477.31571,98368.98727,-0.000211825,-1.73E-18,0.162583382,276.4100793,2.949872936,1971
2016061814,4062,32.5343579,14.50277979,-2.845234597,0.14486525,1770.954578,98345.57971,-0.000210476,8.57E-06,0.162583382,-273.5865376,2.84892012,1817
2016061815,4063,32.46851407,14.13206299,-2.579783093,0.78367179,1826.203415,98334.97316,-0.000187736,5.72E-06,0.162583382,-229.658487,2.696186618,1398
2016061816,4064,31.34916908,14.1440216,-2.307684222,1.039854916,1770.209092,98326.56106,-0.000152632,2.04E-06,0.162583382,-206.5390351,2.531146917,1382
2016061817,4065,31.54791988,14.72347044,-1.502909712,1.363976107,1456.60775,98314.85728,-0.000114306,-1.73E-18,0.162583382,-150.0879214,2.029573458,1788
2016061818,4066,28.5837285,14.62127871,-1.06817194,1.328119905,1344.039281,98322.90363,-8.08E-05,-1.73E-18,0.162288772,-121.9214598,1.704374893,2934
2016061819,4067,28.99586206,14.8593637,-0.721179406,1.369637613,351.382526,98402.63565,-3.92E-05,-1.73E-18,0.162288772,-87.23869968,1.547904043,2473
2016061820,4068,27.32903787,15.67037466,-0.429138436,1.702251063,132.4579763,98418.36261,-9.18E-06,-1.73E-18,0.162288772,-44.45184165,1.755510888,2319
2016061821,4069,27.29977395,15.89867533,-0.414514229,1.744712354,63.45905461,98446.15909,-3.47E-06,-1.73E-18,0.162288772,-41.98652901,1.793277236,2224
2016061822,4070,27.18149893,16.14545748,0.894573823,0.602503613,25.77056799,98511.99287,-2.25E-06,-1.73E-18,0.162288772,176.0528879,1.07855131,1960
2016061823,4071,22.45537562,16.74447496,1.687826231,-0.091502606,31.5687967,98537.96064,-2.36E-06,-1.73E-18,0.162288772,-272.9944907,1.690304739,1231
2016061900,4072,22.37002252,16.2215577,1.654589398,-0.152363791,29.08384154,98533.20598,-3.68E-06,-1.73E-18,0.162288772,-266.2145529,1.661589841,927
2016061901,4073,21.77864744,16.04652719,1.634204141,-0.147174077,22.45729444,98517.11328,-3.47E-06,-1.73E-18,0.162288772,-266.5764108,1.6408179,803
