"","ymdh","time_jjj","t2m","d2m","u10","v10","blh","sp","e","tp","fal","wind_direction","wind_speed","bc"
"100",2016010517,105,-0.057115273,-9.924304859,0.240472954,2.149981792,207.1722948,100525.0435,-1.32e-05,-1.73e-18,0.154420214,20.04945973,2.163388302,1327
"101",2016010518,106,-2.989604067,-9.188306982,0.865768568,2.20282251,62.13374519,100548.4511,-2.44e-06,-1.73e-18,0.148282494,67.40652484,2.366850697,1389
"102",2016010519,107,-3.316384523,-9.258971475,1.552219953,1.318212271,43.08242229,100610.9932,-1.41e-06,-1.73e-18,0.14829477,156.0135198,2.036435703,1385
"103",2016010520,108,-3.184696876,-9.128513949,1.766265156,1.430027005,44.8218909,100675.364,-1.37e-06,-1.73e-18,0.148331596,160.2376181,2.272590996,1130
"104",2016010521,109,-3.104221092,-9.189394128,1.853567237,1.14506456,42.91675861,100696.2113,-1.5e-06,-1.73e-18,0.148331596,183.1353036,2.178734575,752
"105",2016010522,110,-3.46758145,-9.440524866,2.037477711,0.753948886,40.43180345,100697.3086,-1.45e-06,-1.73e-18,0.148343872,218.9485712,2.172499562,901
"106",2016010523,111,-5.073439139,-9.943873488,2.123007161,0.345848696,37.20136174,100709.7438,-1.35e-06,-1.73e-18,0.148343872,253.6757583,2.150992962,552
"107",2016010601,113,-5.668472208,-9.567720954,1.649271505,-0.417982758,27.9241958,100685.6048,-9.03e-07,-1.73e-18,0.148356147,-238.0657595,1.701412967,1268
"108",2016010602,114,-5.557513173,-9.60468392,1.354571588,-0.52696674,24.36242673,100643.9101,-6.97e-07,-1.73e-18,0.148356147,-215.9611037,1.453464183,913
"109",2016010603,115,-5.118554351,-10.11564256,1.115266392,-0.58027925,22.70578996,100645.7388,-9.78e-07,-1.73e-18,0.148356147,-196.3865845,1.257196537,556
"110",2016010604,116,-5.399000265,-10.35590184,0.915402238,-0.829857286,24.11393122,100605.507,-9.22e-07,-1.73e-18,0.148356147,-150.1874229,1.235566417,464
"111",2016010605,117,-5.722122731,-10.7396644,0.83740647,-1.249752279,30.4919828,100646.836,-8.47e-07,-1.73e-18,0.148356147,-106.2624155,1.504370418,267
"112",2016010606,118,-6.781720553,-11.41043351,0.548024447,-1.673893402,36.62153887,100656.7111,-7.91e-07,-1.73e-18,0.1484298,-56.95139343,1.761320503,289
"113",2016010607,119,-6.695148119,-11.74962308,0.351705555,-1.594632324,37.20136174,100706.8179,-9.41e-07,-1.73e-18,0.1484298,-39.07448495,1.632957148,195
