ymdh,time_jjj,t2m,d2m,u10,v10,blh,sp,e,tp,fal,wind_direction,wind_speed,bc
2016010511,99,-1.147196346,-18.21053207,0.362341341,-1.207290988,678.4854572,102926.1477,-4.26E-05,-1.73E-18,0.149190877,-52.48329307,1.260493069,0
2016010512,100,-1.356921117,-16.87008099,1.104187448,-0.253799098,885.4822221,102797.0404,-5.24E-05,-1.73E-18,0.149166326,-242.0764235,1.132980098,0
2016010513,101,1.040281781,-15.11651441,1.604069412,0.446812211,1085.189785,102673.4192,-5.59E-05,-1.73E-18,0.149166326,233.8440263,1.66513658,0
2016010514,102,1.01223719,-14.26636619,1.591217837,0.879445592,1192.125689,102569.9138,-5.30E-05,-1.73E-18,0.149154051,191.8606346,1.818075563,0
2016010515,103,1.106125604,-13.80759056,1.374956845,1.33142245,1116.003229,102530.7793,-4.44E-05,-1.73E-18,0.149154051,144.2668716,1.913946725,0
2016010516,104,-0.051018622,-12.46170375,0.659700205,1.599872171,625.3074167,102524.1959,-2.83E-05,-1.73E-18,0.149154051,70.3986479,1.730547695,0
2016010517,105,-0.381457069,-11.68983005,0.302071884,2.127335769,121.8555009,102556.0156,-8.55E-06,-1.73E-18,0.149154051,25.38943933,2.14867515,0
2016010518,106,-2.2445934,-11.07559253,1.230044254,2.004669816,128.6477117,102591.4927,-3.34E-06,-1.73E-18,0.149203152,99.06333624,2.351958745,0
2016010519,107,-2.323849854,-11.04406529,1.504358914,1.8258606,116.3885996,102624.7753,-3.11E-06,-1.73E-18,0.149203152,124.0480317,2.365768939,0
2016010520,108,-2.065351881,-10.67008705,1.671429393,1.573451812,104.4608148,102681.4655,-2.85E-06,-1.73E-18,0.149203152,146.8050295,2.295523213,0
2016010521,109,-2.162898286,-10.57876678,1.749868318,1.138931262,80.52241339,102706.336,-2.59E-06,-1.73E-18,0.149215428,178.8861546,2.087870578,0
2016010522,110,-2.805485228,-10.49505654,1.905416696,0.879917384,65.28135507,102699.3869,-2.31E-06,-1.73E-18,0.149215428,204.8714483,2.098777594,0
2016010523,111,-4.911268241,-10.72335721,1.880156703,0.733661825,56.00418913,102725.7204,-2.05E-06,-1.73E-18,0.149215428,215.7759499,2.01822915,0
2016010600,112,-5.481914709,-10.63203694,1.980753517,0.382648482,50.12312858,102713.6509,-1.84E-06,-1.73E-18,0.149215428,248.3934849,2.017375611,0
2016010601,113,-6.080605768,-10.26349443,2.033046133,-0.458085089,44.32489987,102711.4564,-1.45E-06,-1.73E-18,0.149215428,-242.8519914,2.084015002,0
2016010602,114,-6.273259918,-10.23957721,1.398444207,-1.258244538,41.83994471,102680.0025,-1.18E-06,-1.73E-18,0.149215428,-150.8618865,1.881176631,0
2016010603,115,-6.393973594,-10.95383217,0.716867557,-1.880066562,44.8218909,102691.7063,-9.60E-07,-1.73E-18,0.149215428,-65.57069506,2.012100736,0
2016010604,116,-6.846345046,-12.02793247,0.173999289,-1.833830933,58.90330348,102670.4932,-1.28E-06,-1.73E-18,0.149215428,-17.02795352,1.84206722,0
